iso3_code,common_name,un_member_since
AFG,Afghanistan,1946-11-19
ALB,Albania,1955-12-14
DZA,Algeria,1962-10-08
AND,Andorra,1993-07-28
AGO,Angola,1976-12-01
ATG,"Antigua & Barbuda",1981-11-11
ARG,Argentina,1945-10-24
ARM,Armenia,1992-03-02
AUS,Australia,1945-11-01
AUT,Austria,1955-12-14
AZE,Azerbaijan,1992-03-02
BHS,Bahamas,1973-09-18
BHR,Bahrain,1971-09-21
BGD,Bangladesh,1974-09-17
BRB,Barbados,1966-12-09
BLR,Belarus,1945-10-24
BEL,Belgium,1945-12-27
BLZ,Belize,1981-09-25
BEN,Benin,1960-09-20
BTN,Bhutan,1971-09-21
BOL,Bolivia,1945-11-14
BIH,"Bosnia & Herzegovina",1992-05-22
BWA,Botswana,1966-10-17
BRA,Brazil,1945-10-24
BRN,Brunei,1984-09-21
BGR,Bulgaria,1955-12-14
BFA,"Burkina Faso",1960-09-20
BDI,Burundi,1962-09-18
KHM,Cambodia,1955-12-14
CMR,Cameroon,1960-09-20
CAN,Canada,1945-11-09
CPV,"Cape Verde",1975-09-16
CAF,"Central African Republic",1960-09-20
TCD,Chad,1960-09-20
CHL,Chile,1945-10-24
CHN,China,1945-10-24
COL,Colombia,1945-11-05
COM,Comoros,1975-11-12
COG,"Congo - Brazzaville",1960-09-20
COD,"Congo - Kinshasa",1960-09-20
CRI,"Costa Rica",1945-11-02
HRV,Croatia,1992-05-22
CUB,Cuba,1945-10-24
CYP,Cyprus,1960-09-20
CZE,"Czech Republic",1993-01-19
CIV,"Côte d’Ivoire",1960-09-20
DNK,Denmark,1945-10-24
DJI,Djibouti,1977-09-20
DMA,Dominica,1978-12-18
DOM,"Dominican Republic",1945-10-24
ECU,Ecuador,1945-12-21
EGY,Egypt,1945-10-24
SLV,"El Salvador",1945-10-24
GNQ,"Equatorial Guinea",1968-11-12
ERI,Eritrea,1993-05-28
EST,Estonia,1991-09-17
ETH,Ethiopia,1945-11-13
FJI,Fiji,1970-10-13
FIN,Finland,1955-12-14
FRA,France,1945-10-24
GAB,Gabon,1960-09-20
GMB,Gambia,1965-09-21
GEO,Georgia,1992-07-31
DEU,Germany,1973-09-18
GHA,Ghana,1957-03-08
GRC,Greece,1945-10-25
GRD,Grenada,1974-09-17
GTM,Guatemala,1945-11-21
GIN,Guinea,1958-12-12
GNB,Guinea-Bissau,1974-09-17
GUY,Guyana,1966-09-20
HTI,Haiti,1945-10-24
HND,Honduras,1945-12-17
HUN,Hungary,1955-12-14
ISL,Iceland,1946-11-19
IND,India,1945-10-30
IDN,Indonesia,1950-09-28
IRN,Iran,1945-10-24
IRQ,Iraq,1945-12-21
IRL,Ireland,1955-12-14
ISR,Israel,1949-05-11
ITA,Italy,1955-12-14
JAM,Jamaica,1962-09-18
JPN,Japan,1956-12-18
JOR,Jordan,1955-12-14
KAZ,Kazakhstan,1992-03-02
KEN,Kenya,1963-12-16
KIR,Kiribati,1999-09-14
KWT,Kuwait,1963-05-14
KGZ,Kyrgyzstan,1992-03-02
LAO,Laos,1955-12-14
LVA,Latvia,1991-09-17
LBN,Lebanon,1945-10-24
LSO,Lesotho,1966-10-17
LBR,Liberia,1945-11-02
LBY,Libya,1955-12-14
LIE,Liechtenstein,1990-09-18
LTU,Lithuania,1991-09-17
LUX,Luxembourg,1945-10-24
MKD,Macedonia,1993-04-08
MDG,Madagascar,1960-09-20
MWI,Malawi,1964-12-01
MYS,Malaysia,1957-09-17
MDV,Maldives,1965-09-21
MLI,Mali,1960-09-28
MLT,Malta,1964-12-01
MHL,"Marshall Islands",1991-09-17
MRT,Mauritania,1961-10-27
MUS,Mauritius,1968-04-24
MEX,Mexico,1945-11-07
FSM,Micronesia,1991-09-17
MDA,Moldova,1992-03-02
MCO,Monaco,1993-05-28
MNG,Mongolia,1961-10-27
MNE,Montenegro,2006-06-28
MAR,Morocco,1956-11-12
MOZ,Mozambique,1975-09-16
MMR,"Myanmar (Burma)",1948-04-19
NAM,Namibia,1990-04-23
NRU,Nauru,1999-09-14
NPL,Nepal,1955-12-14
NLD,Netherlands,1945-12-10
NZL,"New Zealand",1945-10-24
NIC,Nicaragua,1945-10-24
NER,Niger,1960-09-20
NGA,Nigeria,1960-10-07
PRK,"North Korea",1991-09-17
NOR,Norway,1945-11-27
OMN,Oman,1971-10-07
PAK,Pakistan,1947-09-30
PLW,Palau,1994-12-15
PAN,Panama,1945-11-13
PNG,"Papua New Guinea",1975-10-10
PRY,Paraguay,1945-10-24
PER,Peru,1945-10-31
PHL,Philippines,1945-10-24
POL,Poland,1945-10-24
PRT,Portugal,1955-12-14
QAT,Qatar,1971-09-21
ROU,Romania,1955-12-14
RUS,Russia,1945-10-24
RWA,Rwanda,1962-09-18
WSM,Samoa,1976-12-15
SMR,"San Marino",1992-03-02
SAU,"Saudi Arabia",1945-10-24
SEN,Senegal,1960-09-28
SRB,Serbia,2000-11-01
SYC,Seychelles,1976-09-21
SLE,"Sierra Leone",1961-09-27
SGP,Singapore,1965-09-21
SVK,Slovakia,1993-01-19
SVN,Slovenia,1992-05-22
SLB,"Solomon Islands",1978-09-19
SOM,Somalia,1960-09-20
ZAF,"South Africa",1945-11-07
KOR,"South Korea",1991-09-17
SSD,"South Sudan",2011-07-14
ESP,Spain,1955-12-14
LKA,"Sri Lanka",1955-12-14
KNA,"St. Kitts & Nevis",1983-09-23
LCA,"St. Lucia",1979-09-18
VCT,"St. Vincent & Grenadines",1980-09-16
SDN,Sudan,1956-11-12
SUR,Suriname,1975-12-04
SWZ,Swaziland,1968-09-24
SWE,Sweden,1946-11-19
CHE,Switzerland,2002-09-10
SYR,Syria,1945-10-24
STP,"São Tomé & Príncipe",1975-09-16
TJK,Tajikistan,1992-03-02
TZA,Tanzania,1961-12-14
THA,Thailand,1946-12-16
TLS,Timor-Leste,2002-09-27
TGO,Togo,1960-09-20
TON,Tonga,1999-09-14
TTO,"Trinidad & Tobago",1962-09-18
TUN,Tunisia,1956-11-12
TUR,Turkey,1945-10-24
TKM,Turkmenistan,1992-03-02
TUV,Tuvalu,2000-09-05
UGA,Uganda,1962-10-25
UKR,Ukraine,1945-10-24
ARE,"United Arab Emirates",1971-12-09
GBR,"United Kingdom",1945-10-24
USA,"United States",1945-10-24
URY,Uruguay,1945-12-18
UZB,Uzbekistan,1992-03-02
VUT,Vanuatu,1981-09-15
VEN,Venezuela,1945-11-15
VNM,Vietnam,1977-09-20
YEM,Yemen,1947-09-30
ZMB,Zambia,1964-12-01
ZWE,Zimbabwe,1980-08-25
