Controlling State,Group,Country,Flag Picture URL,Flag URL,Country URL
Australia,,Christmas Island,/wiki/File:Flag_of_Christmas_Island.svg,/wiki/Flag_of_Christmas_Island,/wiki/Christmas_Island
Australia,,Cocos (Keeling) Islands,/wiki/File:Flag_of_the_Cocos_(Keeling)_Islands.svg,/wiki/Flag_of_the_Cocos_(Keeling)_Islands,/wiki/Cocos_(Keeling)_Islands
Australia,,Norfolk Island,/wiki/File:Flag_of_Norfolk_Island.svg,/wiki/Flag_of_Norfolk_Island,/wiki/Norfolk_Island
Chile,,Easter Island,"/wiki/File:Flag_of_Rapa_Nui,_Chile.svg",/wiki/Flag_of_Easter_Island,/wiki/Easter_Island
China,,Hong Kong,/wiki/File:Flag_of_Hong_Kong.svg,/wiki/Flag_of_Hong_Kong,/wiki/Hong_Kong
China,,Macau,/wiki/File:Flag_of_Macau.svg,/wiki/Flag_of_Macau,/wiki/Macau
Denmark,,Faroe Islands,/wiki/File:Flag_of_the_Faroe_Islands.svg,/wiki/Flag_of_the_Faroe_Islands,/wiki/Faroe_Islands
Denmark,,Greenland,/wiki/File:Flag_of_Greenland.svg,/wiki/Flag_of_Greenland,/wiki/Greenland
Finland,,Åland Islands,/wiki/File:Flag_of_%C3%85land.svg,/wiki/Flag_of_%C3%85land_Islands,/wiki/%C3%85land_Islands
France,,French Southern and Antarctic Lands,/wiki/File:Flag_of_the_French_Southern_and_Antarctic_Lands.svg,/wiki/Flag_of_the_French_Southern_and_Antarctic_Lands,/wiki/French_Southern_and_Antarctic_Lands
France,,French Polynesia,/wiki/File:Flag_of_French_Polynesia.svg,/wiki/Flag_of_French_Polynesia,/wiki/French_Polynesia
France,,Wallis and Futuna,/wiki/File:Flag_of_Wallis_and_Futuna.svg,/wiki/Flag_of_Wallis_and_Futuna,/wiki/Wallis_and_Futuna
France,,Saint Barthelemy,/wiki/File:Flag_of_Saint_Barthelemy_(local).svg,/wiki/Flag_of_Saint_Barthelemy,/wiki/Saint_Barthelemy
France,,Saint Pierre and Miquelon,/wiki/File:Flag_of_Saint-Pierre_and_Miquelon.svg,/wiki/Flag_of_Saint_Pierre_and_Miquelon,/wiki/Saint_Pierre_and_Miquelon
France,,New Caledonia,/wiki/File:Flag_of_New_Caledonia.svg,/wiki/Flag_of_New_Caledonia,/wiki/New_Caledonia
Netherlands,Countries,Aruba,/wiki/File:Flag_of_Aruba.svg,/wiki/Flag_of_Aruba,/wiki/Aruba
Netherlands,Countries,Curaçao,/wiki/File:Flag_of_Cura%C3%A7ao.svg,/wiki/Flag_of_Cura%C3%A7ao,/wiki/Cura%C3%A7ao
Netherlands,Countries,Sint Maarten,/wiki/File:Flag_of_Sint_Maarten.svg,/wiki/Flag_of_Sint_Maarten,/wiki/Sint_Maarten
Netherlands,Public bodies,Bonaire,/wiki/File:Flag_of_Bonaire.svg,/wiki/Flag_of_Bonaire,/wiki/Bonaire
Netherlands,Public bodies,Sint Eustatius,/wiki/File:Flag_of_Sint_Eustatius.svg,/wiki/Flag_of_Sint_Eustatius,/wiki/Sint_Eustatius
Netherlands,Public bodies,Saba,/wiki/File:Flag_of_Saba.svg,/wiki/Flag_of_Saba,/wiki/Saba
New Zealand,,Cook Islands,/wiki/File:Flag_of_the_Cook_Islands.svg,/wiki/Flag_of_the_Cook_Islands,/wiki/Cook_Islands
New Zealand,,Niue,/wiki/File:Flag_of_Niue.svg,/wiki/Flag_of_Niue,/wiki/Niue
New Zealand,,Tokelau,/wiki/File:Flag_of_Tokelau.svg,/wiki/Flag_of_Tokelau,/wiki/Tokelau
United Kingdom,Crown dependencies,Alderney,/wiki/File:Flag_of_Alderney.svg,/wiki/Flag_of_Alderney,/wiki/Alderney
United Kingdom,Crown dependencies,Guernsey,/wiki/File:Flag_of_Guernsey.svg,/wiki/Flag_of_Guernsey,/wiki/Guernsey
United Kingdom,Crown dependencies,Herm,/wiki/File:Flag_of_Herm.svg,/wiki/Flag_of_Herm,/wiki/Herm
United Kingdom,Crown dependencies,Isle of Man,/wiki/File:Flag_of_the_Isle_of_Man.svg,/wiki/Flag_of_the_Isle_of_Man,/wiki/Isle_of_Man
United Kingdom,Crown dependencies,Jersey,/wiki/File:Flag_of_Jersey.svg,/wiki/Flag_of_Jersey,/wiki/Jersey
United Kingdom,Crown dependencies,Sark,/wiki/File:Flag_of_Sark.svg,/wiki/Flag_of_Sark,/wiki/Sark
United Kingdom,British Overseas Territories,Anguilla,/wiki/File:Flag_of_Anguilla.svg,/wiki/Flag_of_Anguilla,/wiki/Anguilla
United Kingdom,British Overseas Territories,Ascension Island,/wiki/File:Flag_of_Ascension_Island.svg,/wiki/Flag_of_Ascension_Island,/wiki/Ascension_Island
United Kingdom,British Overseas Territories,Bermuda,/wiki/File:Flag_of_Bermuda.svg,/wiki/Flag_of_Bermuda,/wiki/Bermuda
United Kingdom,British Overseas Territories,British Antarctic Territory,/wiki/File:Flag_of_the_British_Antarctic_Territory.svg,/wiki/Flag_of_the_British_Antarctic_Territory,/wiki/British_Antarctic_Territory
United Kingdom,British Overseas Territories,British Indian Ocean Territory,/wiki/File:Flag_of_the_British_Indian_Ocean_Territory.svg,/wiki/Flag_of_the_British_Indian_Ocean_Territory,/wiki/British_Indian_Ocean_Territory
United Kingdom,British Overseas Territories,British Virgin Islands,/wiki/File:Flag_of_the_British_Virgin_Islands.svg,/wiki/Flag_of_the_British_Virgin_Islands,/wiki/British_Virgin_Islands
United Kingdom,British Overseas Territories,Cayman Islands,/wiki/File:Flag_of_the_Cayman_Islands.svg,/wiki/Flag_of_the_Cayman_Islands,/wiki/Cayman_Islands
United Kingdom,British Overseas Territories,Falkland Islands,/wiki/File:Flag_of_the_Falkland_Islands.svg,/wiki/Flag_of_the_Falkland_Islands,/wiki/Falkland_Islands
United Kingdom,British Overseas Territories,Gibraltar,/wiki/File:Flag_of_Gibraltar.svg,/wiki/Flag_of_Gibraltar,/wiki/Gibraltar
United Kingdom,British Overseas Territories,Montserrat,/wiki/File:Flag_of_Montserrat.svg,/wiki/Flag_of_Montserrat,/wiki/Montserrat
United Kingdom,British Overseas Territories,Pitcairn Islands,/wiki/File:Flag_of_the_Pitcairn_Islands.svg,/wiki/Flag_of_the_Pitcairn_Islands,/wiki/Pitcairn_Islands
United Kingdom,British Overseas Territories,Saint Helena,/wiki/File:Flag_of_Saint_Helena.svg,/wiki/Flag_of_Saint_Helena,/wiki/Saint_Helena
United Kingdom,British Overseas Territories,South Georgia and the South Sandwich Islands,/wiki/File:Flag_of_South_Georgia_and_the_South_Sandwich_Islands.svg,/wiki/Flag_of_South_Georgia_and_the_South_Sandwich_Islands,/wiki/South_Georgia_and_the_South_Sandwich_Islands
United Kingdom,British Overseas Territories,Tristan da Cunha,/wiki/File:Flag_of_Tristan_da_Cunha.svg,/wiki/Flag_of_Tristan_da_Cunha,/wiki/Tristan_da_Cunha
United Kingdom,British Overseas Territories,Turks and Caicos Islands,/wiki/File:Flag_of_the_Turks_and_Caicos_Islands.svg,/wiki/Flag_of_the_Turks_and_Caicos_Islands,/wiki/Turks_and_Caicos_Islands
United States,,American Samoa,/wiki/File:Flag_of_American_Samoa.svg,/wiki/Flag_of_American_Samoa,/wiki/American_Samoa
United States,,Guam,/wiki/File:Flag_of_Guam.svg,/wiki/Flag_of_Guam,/wiki/Guam
United States,,Northern Mariana Islands,/wiki/File:Flag_of_the_Northern_Mariana_Islands.svg,/wiki/Flag_of_the_Northern_Mariana_Islands,/wiki/Northern_Mariana_Islands
United States,,Puerto Rico,/wiki/File:Flag_of_Puerto_Rico.svg,/wiki/Flag_of_Puerto_Rico,/wiki/Puerto_Rico
United States,,U.S. Virgin Islands,/wiki/File:Flag_of_the_United_States_Virgin_Islands.svg,/wiki/Flag_of_the_United_States_Virgin_Islands,/wiki/United_States_Virgin_Islands
